File;Status;Steps;Status with cuts;Steps with cuts
./bench1/yes/trace.c ; eps ; 1222637 ; eps ; 1224472
./bench1/yes/tree-diff.c ; eps ; 240599 ; eps ; 240995
./bench1/yes/version.c ; eps ; 165720 ; eps ; 165978
./bench1/yes/walker.c ; eps ; 787573 ; eps ; 789148
./bench1/no/trace-00.c ; fail ; 249400 ; error ; 240775
./bench1/no/trace-01.c ; fail ; 440999 ; error ; 435393
./bench1/no/trace-02.c ; fail ; 8723 ; fail ; 8724
./bench1/no/trace-03.c ; fail ; 271906 ; error ; 263330
./bench1/no/trace-04.c ; fail ; 292587 ; error ; 284035
./bench1/no/trace-05.c ; fail ; 490059 ; error ; 480651
./bench1/no/trace-06.c ; fail ; 281374 ; error ; 272808
./bench1/no/trace-07.c ; fail ; 427944 ; fail ; 428562
./bench1/no/trace-08.c ; fail ; 693234 ; error ; 672091
./bench1/no/trace-09.c ; fail ; 613813 ; error ; 605631
./bench1/no/tree-diff-00.c ; fail ; 286684 ; error ; 273271
./bench1/no/tree-diff-01.c ; fail ; 16148 ; error ; 9957
./bench1/no/tree-diff-02.c ; fail ; 83994 ; error ; 77745
./bench1/no/tree-diff-03.c ; fail ; 163311 ; error ; 117448
./bench1/no/tree-diff-04.c ; fail ; 191368 ; fail ; 191689
./bench1/no/tree-diff-05.c ; fail ; 74726 ; error ; 68734
./bench1/no/tree-diff-06.c ; fail ; 254930 ; error ; 241483
./bench1/no/tree-diff-07.c ; fail ; 225204 ; error ; 204540
./bench1/no/tree-diff-08.c ; fail ; 170095 ; error ; 123235
./bench1/no/tree-diff-09.c ; fail ; 15219 ; error ; 9095
./bench1/no/version-00.c ; fail ; 169340 ; error ; 166911
./bench1/no/version-01.c ; fail ; 12074 ; fail ; 12074
./bench1/no/version-02.c ; fail ; 15393 ; fail ; 15393
./bench1/no/version-03.c ; fail ; 44196 ; error ; 25356
./bench1/no/version-04.c ; fail ; 13652 ; fail ; 13652
./bench1/no/version-05.c ; fail ; 169348 ; error ; 166919
./bench1/no/version-06.c ; fail ; 50545 ; fail ; 50597
./bench1/no/version-07.c ; fail ; 169322 ; error ; 166893
./bench1/no/version-08.c ; fail ; 13646 ; fail ; 13646
./bench1/no/version-09.c ; fail ; 169324 ; error ; 166895
./bench1/no/walker-00.c ; fail ; 170994 ; fail ; 171302
./bench1/no/walker-01.c ; fail ; 733268 ; error ; 728673
./bench1/no/walker-02.c ; fail ; 606078 ; error ; 555349
./bench1/no/walker-03.c ; fail ; 426081 ; fail ; 427050
./bench1/no/walker-04.c ; fail ; 468793 ; fail ; 469805
./bench1/no/walker-05.c ; fail ; 157278 ; error ; 128106
./bench1/no/walker-06.c ; fail ; 124662 ; error ; 109197
./bench1/no/walker-07.c ; fail ; 404201 ; error ; 379826
./bench1/no/walker-08.c ; fail ; 161999 ; fail ; 162307
./bench1/no/walker-09.c ; fail ; 924236 ; error ; 919976
